"sep=#"
Timestamp#Gadget#ScreenW (px)#ScreenH (px)#ScreenW (cm)#ScreenH (cm)#System_keyboard#Keyboard type#Interaction style#Orientation#Time presented in task#Source text hidden in task#Cursor manipulation allowed#Phrase repetition allowed#Test session name#Corpus filepath#Username#Source phrase ID#P: Source phrase text#|P|: Source phrase length#T: Transcribed phrase text#|T|: Transcribed phrase length#IS: Input stream#|IS|: Input stream length#C#INF#F#IF#IFc#IFe#Time#KSPC: Keystrokes per character#KSPS: Keystrokes per second#CPS: Characters per second#WPM: Words per minute#WPMadjusted#TER: Total error rate#CER: Corrected error rate#NCER: Not corrected error rate#CBRER: Corrected-But-Right error rate#CAWER: Corrected-And-Wrong error rate#CE: Correction Efficiency#PC: Participant Conscientiousness#UB: Utilized Bandwidth#WB: Wasted Bandwidth#
2022-01-15 19:56:17.017#Sony-G3221#1080#1776#7,40#12,21#Microsoft SwiftKey Keyboard#default#One-handed#Portrait#true#false#false#false#session1-ingo#MacKenzie500_assetFile#ingo#363#it is difficult to concentrate#30#it is dufficult to concentrate#30#ii ii ddddddddd tt ccccc<ccccccc#32#29#1#1#1#0#1#11,65#1,067#2,660#2,49#29,86#28,90#6,45%#3,23%#3,23%#0,00%#3,23%#1,000#0,50#90,63%#9,38%
2022-01-15 19:57:01.001#Sony-G3221#1080#1776#7,40#12,21#Microsoft SwiftKey Keyboard#default#One-handed#Portrait#true#false#false#false#session1-ingo#MacKenzie500_assetFile#ingo#360#the ropes of a new organization#31#the ropes of a new organization#31#ttt rrrrr oo a nnn oooooooooooo#31#31#0#0#0#0#0#11,46#1,000#2,618#2,62#31,42#31,42#0,00%#0,00%#0,00%#0,00%#0,00%#NaN#NaN#100,00%#0,00%
2022-01-15 19:57:19.019#Sony-G3221#1080#1776#7,40#12,21#Microsoft SwiftKey Keyboard#default#One-handed#Portrait#true#false#false#false#session1-ingo#MacKenzie500_assetFile#ingo#190#do you like to shop on sunday#29#do you like to shop on sundau#29#dd yyy llll tt ssss oo ssssss#29#28#1#0#0#0#0#9,16#1,000#3,056#3,06#36,67#35,40#3,45%#0,00%#3,45%#0,00%#0,00%#NaN#0,00#96,55%#3,45%
2022-01-15 19:57:35.035#Sony-G3221#1080#1776#7,40#12,21#Microsoft SwiftKey Keyboard#default#One-handed#Portrait#true#false#false#false#session1-ingo#MacKenzie500_assetFile#ingo#354#our housekeeper does a thorough job#35#our housekeeper does a thotouugh job#36#ooo<o hhhhhhhhhhh dddd a ttttttttt jjj#38#34#2#1#1#0#1#12,65#1,056#2,926#2,77#33,21#31,42#8,11%#2,70%#5,41%#0,00%#2,70%#1,000#0,33#89,47%#10,53%
2022-01-15 19:57:50.050#Sony-G3221#1080#1776#7,40#12,21#Microsoft SwiftKey Keyboard#default#One-handed#Portrait#true#false#false#false#session1-ingo#MacKenzie500_assetFile#ingo#396#the proprietor was unavailable#30#the proprietor was unsvailsble#30#ttt pppppppppp www uuuuuuuuuuu#30#28#2#0#0#0#0#11,62#1,000#2,495#2,50#29,94#27,95#6,67%#0,00%#6,67%#0,00%#0,00%#NaN#0,00#93,33%#6,67%
2022-01-15 19:58:03.003#Sony-G3221#1080#1776#7,40#12,21#Microsoft SwiftKey Keyboard#default#One-handed#Portrait#true#false#false#false#session1-ingo#MacKenzie500_assetFile#ingo#466#gun powder must be handled with care#36#gun powder must be hsndled wirh csre#36#ggg pppppp mmmm bb hhhhhhh wwww cccc#36#33#3#0#0#0#0#11,14#1,000#3,142#3,14#37,71#34,56#8,33%#0,00%#8,33%#0,00%#0,00%#NaN#0,00#91,67%#8,33%
2022-01-15 19:58:14.014#Sony-G3221#1080#1776#7,40#12,21#Microsoft SwiftKey Keyboard#default#One-handed#Portrait#true#false#false#false#session1-ingo#MacKenzie500_assetFile#ingo#211#bad for the environment#23#bad for die environent#22#bbb fff ddd eeeeeeeeee#22#20#3#0#0#0#0#8,39#1,000#2,504#2,50#30,05#26,13#13,04%#0,00%#13,04%#0,00%#0,00%#NaN#0,00#86,96%#13,04%
2022-01-15 19:58:22.022#Sony-G3221#1080#1776#7,40#12,21#Microsoft SwiftKey Keyboard#default#One-handed#Portrait#true#false#false#false#session1-ingo#MacKenzie500_assetFile#ingo#154#i hate baking pies#18#i hate baking pies#18#i hhhh bbbbbb pppp#18#18#0#0#0#0#0#5,51#1,000#3,085#3,08#37,02#37,02#0,00%#0,00%#0,00%#0,00%#0,00%#NaN#NaN#100,00%#0,00%
2022-01-15 19:58:31.031#Sony-G3221#1080#1776#7,40#12,21#Microsoft SwiftKey Keyboard#default#One-handed#Portrait#true#false#false#false#session1-ingo#MacKenzie500_assetFile#ingo#331#do not feel too bad about it#28#do not feel to bad about it#27#dd nnn ffff tt bbb aaaaa ii#27#27#1#0#0#0#0#7,27#1,000#3,575#3,57#42,90#41,37#3,57%#0,00%#3,57%#0,00%#0,00%#NaN#0,00#96,43%#3,57%
2022-01-15 19:58:40.040#Sony-G3221#1080#1776#7,40#12,21#Microsoft SwiftKey Keyboard#default#One-handed#Portrait#true#false#false#false#session1-ingo#MacKenzie500_assetFile#ingo#220#if you were not so stupid#25#if you were not so stuoid#25#ii yyy wwww nnn ss ssssss#25#24#1#0#0#0#0#7,46#1,000#3,217#3,22#38,61#37,06#4,00%#0,00%#4,00%#0,00%#0,00%#NaN#0,00#96,00%#4,00%
2022-01-15 19:58:51.051#Sony-G3221#1080#1776#7,40#12,21#Microsoft SwiftKey Keyboard#default#One-handed#Portrait#true#false#false#false#session1-ingo#MacKenzie500_assetFile#ingo#282#interesting observation was made#32#interesting observation was made#32#iiiiiiiiiii ooooooooooo www mmmm#32#32#0#0#0#0#0#8,78#1,000#3,530#3,53#42,36#42,36#0,00%#0,00%#0,00%#0,00%#0,00%#NaN#NaN#100,00%#0,00%
2022-01-15 19:59:02.002#Sony-G3221#1080#1776#7,40#12,21#Microsoft SwiftKey Keyboard#default#One-handed#Portrait#true#false#false#false#session1-ingo#MacKenzie500_assetFile#ingo#280#chemical spill took forever#27#chemical soill took forever#27#cccccccc sssss tttt fffffff#27#26#1#0#0#0#0#6,93#1,000#3,753#3,75#45,04#43,37#3,70%#0,00%#3,70%#0,00%#0,00%#NaN#0,00#96,30%#3,70%
2022-01-15 19:59:11.011#Sony-G3221#1080#1776#7,40#12,21#Microsoft SwiftKey Keyboard#default#One-handed#Portrait#true#false#false#false#session1-ingo#MacKenzie500_assetFile#ingo#97#just in time for the party#26#just in time for tbe psrty#26#jjjj ii tttt fff ttt ppppp#26#24#2#0#0#0#0#6,69#1,000#3,739#3,74#44,86#41,41#7,69%#0,00%#7,69%#0,00%#0,00%#NaN#0,00#92,31%#7,69%
2022-01-15 19:59:21.021#Sony-G3221#1080#1776#7,40#12,21#Microsoft SwiftKey Keyboard#default#One-handed#Portrait#true#false#false#false#session1-ingo#MacKenzie500_assetFile#ingo#69#the quick brown fox jumped#26#tge wuick brown fox jumped#26#ttt wwwww bbbbb fff jjjjjj#26#24#2#0#0#0#0#7,67#1,000#3,260#3,26#39,12#36,11#7,69%#0,00%#7,69%#0,00%#0,00%#NaN#0,00#92,31%#7,69%
2022-01-15 19:59:35.035#Sony-G3221#1080#1776#7,40#12,21#Microsoft SwiftKey Keyboard#default#One-handed#Portrait#true#false#false#false#session1-ingo#MacKenzie500_assetFile#ingo#71#wear a crown with many jewels#29#wear a crown with msny jewels#29#wwww a ccccc wwww mmmm jjjjjj#29#28#1#0#0#0#0#9,85#1,000#2,844#2,84#34,12#32,95#3,45%#0,00%#3,45%#0,00%#0,00%#NaN#0,00#96,55%#3,45%
